year,国家,数量
2002,美国,800
2002,英国,300
2002,中国,50
2003,美国,850
2003,英国,310
2003,中国,60
2004,美国,900
2004,英国,320
2004,中国,70
2005,美国,950
2005,英国,330
2005,中国,80
2006,美国,1000
2006,英国,340
2006,中国,90
2007,美国,1050
2007,英国,350
2007,中国,100
2008,美国,1100
2008,英国,360
2008,中国,110
2009,美国,1150
2009,英国,370
2009,中国,120
2010,美国,1200
2010,英国,380
2010,中国,130
2011,美国,1250
2011,英国,390
2011,中国,140
2012,美国,1300
2012,英国,400
2012,中国,150
2013,美国,1350
2013,英国,410
2013,中国,160
2014,美国,1400
2014,英国,420
2014,中国,170
2015,美国,1450
2015,英国,430
2015,中国,180
2016,美国,1500
2016,英国,440
2016,中国,1550
2017,美国,1480
2017,英国,450
2017,中国,1750
2018,美国,1460
2018,英国,460
2018,中国,1950
2019,美国,1440
2019,英国,470
2019,中国,2150
2020,美国,1420
2020,英国,480
2020,中国,2350
2021,美国,1400
2021,英国,490
2021,中国,2550
2022,美国,1380
2022,英国,500
2022,中国,2750
2023,美国,1360
2023,英国,510
2023,中国,2950
2024,美国,1340
2024,英国,520
2024,中国,3150
2025,美国,1320
2025,英国,530
2025,中国,3350
2026,美国,1300
2026,英国,540
2026,中国,3550
