年月日,订单id,销售额,省份
2026-04-15,ORD5272517,1434.04,河南
2026-04-17,ORD9104810,1880.64,山西
2026-04-16,ORD6999647,1763.13,北京
2026-04-02,ORD7347613,4803.3,广东
2026-04-03,ORD8715610,1801.43,广西
2026-04-20,ORD5424985,3117.28,江西
2026-04-30,ORD1031044,1046.84,安徽
2026-04-27,ORD1093828,2802.73,江苏
2026-04-29,ORD3498668,4138.4,江西
2026-04-11,ORD9411977,3062.12,江苏
2026-04-09,ORD2508873,4263.55,四川
2026-04-22,ORD7876061,2275.46,河南
2026-04-22,ORD5082415,3491.64,江苏
2026-04-14,ORD5164033,1490.0,山西
2026-04-29,ORD7083510,2289.02,广西
2026-04-24,ORD5690276,4295.39,河北
2026-04-15,ORD5247581,4888.73,安徽
2026-04-08,ORD7184915,2999.47,广西
2026-04-22,ORD7922505,822.7,江苏
2026-04-24,ORD6887846,1445.28,四川
2026-04-04,ORD1448402,4568.93,湖北
2026-04-14,ORD7476816,2462.91,福建
2026-04-10,ORD2133969,1676.14,广东
2026-04-28,ORD5512090,4323.2,湖北
2026-04-10,ORD6833307,4313.3,四川
2026-04-24,ORD7181209,3579.08,四川
2026-04-26,ORD6814678,1880.79,北京
2026-04-29,ORD8103412,2116.87,上海
2026-04-17,ORD9925427,3906.13,安徽
2026-04-29,ORD7188134,798.45,云南
2026-04-15,ORD6429434,18.53,江西
2026-04-02,ORD3696569,117.92,湖北
2026-04-09,ORD4934539,767.56,云南
2026-04-02,ORD8246212,2898.63,浙江
2026-04-02,ORD6388462,907.57,江苏
2026-04-11,ORD3261499,1978.89,福建
2026-04-26,ORD2486119,2663.85,陕西
2026-04-27,ORD1067499,1477.62,浙江
2026-04-02,ORD4672139,1539.08,河北
2026-04-04,ORD7340731,1100.91,河北
2026-04-01,ORD5518890,711.21,辽宁
2026-04-18,ORD6432884,4586.11,河南
2026-04-30,ORD8850182,2793.45,广东
2026-04-03,ORD7549383,4314.68,山西
2026-04-27,ORD1680044,3592.22,河北
2026-04-09,ORD2514878,4411.27,山东
2026-04-15,ORD1017808,2580.49,河南
2026-04-06,ORD5934890,1845.13,江苏
2026-04-16,ORD3331616,4797.4,北京
2026-04-13,ORD6464150,826.06,安徽
2026-04-07,ORD9224208,3573.05,四川
2026-04-08,ORD7883080,3021.8,陕西
2026-04-30,ORD6510304,70.47,重庆
2026-04-01,ORD6063925,4970.63,浙江
2026-04-17,ORD7271017,2186.84,浙江
2026-04-04,ORD3893371,1634.26,湖北
2026-04-01,ORD2579718,1220.39,重庆
2026-04-27,ORD9236230,852.83,江西
2026-04-20,ORD7393400,3657.18,安徽
2026-04-20,ORD9131752,4156.47,浙江
2026-04-02,ORD3507508,663.68,河北
2026-04-22,ORD7176710,4724.22,河南
2026-04-16,ORD5527483,2669.78,浙江
2026-04-15,ORD5197746,2338.59,河南
2026-04-08,ORD5921842,3334.58,重庆
2026-04-13,ORD9427742,11.42,河北
2026-04-23,ORD8549457,1300.72,北京
2026-04-01,ORD5277406,1178.79,北京
2026-04-17,ORD8454472,3139.52,湖南
2026-04-14,ORD8928770,4176.86,四川
2026-04-18,ORD3902052,1967.82,陕西
2026-04-20,ORD7242347,3935.06,广东
2026-04-02,ORD6660576,4401.66,山西
2026-04-19,ORD3864932,3914.9,四川
2026-04-22,ORD5316132,1480.65,四川
2026-04-02,ORD5746109,2325.14,上海
2026-04-21,ORD3680261,4180.35,河南
2026-04-19,ORD5116451,715.35,广东
2026-04-04,ORD2610099,3988.35,辽宁
2026-04-10,ORD5845295,121.85,安徽
2026-04-18,ORD6158927,555.44,上海
2026-04-29,ORD6995203,3900.89,上海
2026-04-20,ORD6280848,576.41,重庆
2026-04-16,ORD8156232,2927.65,广西
2026-04-12,ORD4342941,3951.03,安徽
2026-04-10,ORD5243105,3148.28,河南
2026-04-17,ORD4608411,2060.12,河南
2026-04-09,ORD4367088,142.03,江西
2026-04-02,ORD7741862,2251.7,广东
2026-04-19,ORD4827767,397.06,山西
2026-04-14,ORD3558081,1689.36,湖南
2026-04-18,ORD7320473,1415.28,广东
2026-04-01,ORD4071439,1941.41,辽宁
2026-04-11,ORD7322177,2878.48,江苏
2026-04-12,ORD1914144,1874.59,重庆
2026-04-23,ORD5530772,3724.87,山东
2026-04-29,ORD9754696,1138.9,河北
2026-04-11,ORD9612473,2689.71,河北
2026-04-09,ORD1874378,4883.74,北京
2026-04-07,ORD2505834,4660.68,陕西
